ids,Station_Prox,bedrooms_model,bathrooms_model,compass,borough_name,propertySubType,tenure.tenureType,tenure.yearsRemainingOnLease,address.outcode,address.incode,location.latitude,location.longitude,analyticsProperty.added,analyticsProperty.auctionOnly,analyticsProperty.minSizeFt,analyticsProperty.maxSizeFt,prices.pricePerSqFt,analyticsProperty.ownership,analyticsProperty.preOwned,analyticsProperty.priceQualifier,analyticsProperty.soldSTC,Price
118558391,0.5,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR3,1TW,51.41963,-0.02336,20220110,False,,,,Non-shared ownership,Resale,Offers in Region of,True,175000.0
116451371,0.6,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR5,2JN,51.402796,0.106912,20211117,False,,,,Non-shared ownership,Resale,None,True,175000.0
109432790,0.3,1.0,1.0,SE,Bromley,Apartment,,,SE20,7SN,51.407738,-0.058451,20210624,True,,,,Non-shared ownership,Resale,Guide Price,False,175000.0
116706560,0.6,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR5,3DD,51.403814,0.108526,20211122,False,,,,Non-shared ownership,Resale,Offers in Excess of,True,175000.0
85520301,0.1,1.0,,SE,Bromley,Flat,LEASEHOLD,,SE20,8AJ,51.41235,-0.06704,20220609,True,,,,Non-shared ownership,Resale,Guide Price,False,180000.0
85484418,0.1,1.0,1.0,SE,Bromley,Apartment,LEASEHOLD,,SE20,8AJ,51.412151,-0.066887,20220608,True,,,,Non-shared ownership,Resale,Guide Price,False,180000.0
84012792,0.5,,1.0,BR,Bromley,Apartment,LEASEHOLD,,BR3,1TD,51.41874,-0.02397,20220222,False,,,,Non-shared ownership,Resale,Guide Price,True,180000.0
109275287,0.8,1.0,1.0,BR,Bromley,Maisonette,LEASEHOLD,,BR6,0JD,51.3826,0.1074,20210622,False,,,,Non-shared ownership,Resale,Offers Over,True,180000.0
123969476,0.2,1.0,,SE,Bromley,Flat,LEASEHOLD,,SE20,7HW,51.417117,-0.056748,20220616,False,,,,Non-shared ownership,Resale,None,False,180000.0
123969479,0.2,1.0,,SE,Bromley,Flat,LEASEHOLD,,SE20,7HW,51.417197,-0.056867,20220616,False,,,,Non-shared ownership,Resale,None,False,180000.0
123813974,0.3,2.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR1,2EG,51.396643,0.043767,20220601,True,,,,Non-shared ownership,Resale,Guide Price,False,180000.0
60816306,0.3,1.0,1.0,BR,Bromley,Flat,LEASEHOLD,,BR2,0AB,51.407009,-0.004864,20190311,False,,,,Non-shared ownership,Resale,None,False,185000.0
